symbol,date,open,high,low,close,volume
AAPL,2024-03-22 10:12:00,171.23,171.373,171.19,171.373,163385
AAPL,2024-03-22 10:11:00,171.24,171.292,171.18,171.228,155409
AAPL,2024-03-22 10:10:00,171.44,171.48,171.21,171.23,164141
AAPL,2024-03-22 10:09:00,171.445,171.5,171.34,171.445,148646
AAPL,2024-03-22 10:08:00,171.445,171.5,171.38,171.445,155629
AAPL,2024-03-22 10:07:00,171.52,171.65,171.43,171.44,338071
AAPL,2024-03-22 10:06:00,171.57,171.65,171.45,171.52,301716
AAPL,2024-03-22 10:05:00,171.67,171.672,171.4,171.57,265763
AAPL,2024-03-22 10:04:00,171.285,171.67,171.285,171.67,384334
AAPL,2024-03-22 10:03:00,171.25,171.3,171.21,171.285,121481
AAPL,2024-03-22 10:02:00,171.26,171.3,171.2,171.25,144194
AAPL,2024-03-22 10:01:00,170.98,171.278,170.9,171.27,199930
AAPL,2024-03-22 10:00:00,171.04,171.11,170.87,170.98,289856
AAPL,2024-03-22 09:59:00,171.14,171.17,171.01,171.03,193498
AAPL,2024-03-22 09:58:00,171.21,171.23,171.08,171.135,187605
AAPL,2024-03-22 09:57:00,171.19,171.705,171.19,171.205,267965
AAPL,2024-03-22 09:56:00,171.17,171.24,171.04,171.187,194646
AAPL,2024-03-22 09:55:00,171.23,171.32,171.1,171.19,261603
AAPL,2024-03-22 09:54:00,170.95,171.23,170.93,171.23,379455
AAPL,2024-03-22 09:53:00,170.868,171.0,170.861,170.955,240108
AAPL,2024-03-22 09:52:00,170.55,171.02,170.54,170.88,503409
AAPL,2024-03-22 09:51:00,170.61,170.63,170.51,170.54,160546
AAPL,2024-03-22 09:50:00,170.47,170.67,170.46,170.62,214489
AAPL,2024-03-22 09:49:00,170.475,170.57,170.42,170.46,321499
AAPL,2024-03-22 09:48:00,170.39,170.49,170.36,170.475,206894
AAPL,2024-03-22 09:47:00,170.075,170.4,170.072,170.4,273795
AAPL,2024-03-22 09:46:00,170.18,170.268,170.06,170.075,307144
