,hash,ver,bits,fee,nonce,size,block_index,main_chain,height,weight
131,0000000000000000000302996811662b3f888e3d893132791431c204360f32da,742432768,386216622,18013670,2808268291,1904569,806851,True,806851,3998041
132,00000000000000000001488da572c151642d44aa2b6722ad0527ffeab9693d62,536870912,386216622,21519823,1237979735,1700832,806850,True,806850,3993624
133,00000000000000000002085efd61a4c256e7f9e6139902e85ffcdded08778b30,829702144,386216622,19695713,187312399,1790410,806849,True,806849,3992926
134,000000000000000000026ad03ca487d69171db0b4c9282f1d2c0a660fa197a36,1073733632,386216622,20646139,139307662,1840266,806848,True,806848,3993009
135,0000000000000000000478a74e3f05a8a215b26e2615d401df7961f482c7002a,815546368,386216622,20095950,420628063,1836207,806847,True,806847,3993531
136,0000000000000000000490ebc6d651bbcbd22c6f3f20a983f61d815236372e0f,538968064,386216622,18057947,1672891491,1146676,806846,True,806846,3997669
137,00000000000000000003c28763143a6dfaa710bda8fdd0ba379de5838cdaa851,729997312,386216622,32262817,2810391843,1555428,806845,True,806845,3993000
138,00000000000000000002d56d58fe14dada31f040b6e1e5bcef47f862353f2ca7,671080448,386216622,22589993,45396744,1589736,806844,True,806844,3993417
139,000000000000000000032541ab290c21e86a405022899708bbac4f1686e3c8d2,536993792,386216622,30279747,482981748,1614325,806843,True,806843,3993028
140,000000000000000000043d165d9b0b7e56cb7c6fcba1ead7c2661d531fc94d23,631496704,386216622,34493727,3385300005,1489531,806842,True,806842,3992854
141,000000000000000000042dc9bc79ec1e7f002f70be9a5e4d8bd622424424793b,536887296,386216622,26568672,866774833,1703107,806841,True,806841,3993124
142,00000000000000000002d9ccecc5dc43d28a46f15a81ac941266df70a79be65a,816660480,386216622,18361964,640923201,1618897,806840,True,806840,3993301
143,00000000000000000002bb118592dfc7c696768d0043644408f6e453c274d72f,549453824,386216622,30293790,3582822926,1461915,806839,True,806839,3992739
144,000000000000000000012acb3691cf28c31b5cdf39ef634219d593fea55adaf3,536870912,386216622,23742293,575906179,1365964,806838,True,806838,3993400
145,000000000000000000011f838a97ae7a36f93785246678ec63a31c7a0ad5bc99,536928256,386216622,40565376,390262021,1508400,806837,True,806837,3993216
146,000000000000000000022f9d2f2e54988c4570b1a339185321adb1ae71214099,571170816,386216622,22540949,1131407884,1720317,806836,True,806836,3993216
